V2	L1	L2	L3	L4	L5	L6	L7	L8	L9
VOG18405	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
VOG18406	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Unclassified
VOG18407	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Unclassified
VOG18408	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Unclassified
VOG18409	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Unclassified
VOG18410	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Unclassified
VOG18411	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Unclassified
VOG18412	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18413	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18414	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18415	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18416	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
VOG18417	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18418	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
VOG18419	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18420	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
VOG18421	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
VOG18422	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
VOG18423	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
VOG18424	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18425	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18426	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
VOG18427	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
VOG18428	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
VOG18429	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Unclassified
